ChatSelf-ItemButt-Caress,SourceCharacter caresses PronounPossessive SourceCharacterButt.
ChatSelf-ItemButt-Grope,SourceCharacter gropes PronounPossessive SourceCharacterButt.
ChatSelf-ItemButt-Inject,SourceCharacter injects PronounPossessive SourceCharacterButt.
ChatSelf-ItemButt-MassageHands,SourceCharacter massages PronounPossessive SourceCharacterButt.
ChatSelf-ItemButt-MasturbateFist,SourceCharacter fists and masturbates PronounPossessive SourceCharacterAss.
ChatSelf-ItemButt-MasturbateHand,SourceCharacter fingers and masturbates PronounPossessive SourceCharacterAss.
ChatSelf-ItemButt-MasturbateItem,SourceCharacter masturbates PronounPossessive SourceCharacterButt with PronounPossessive ActivityAsset.
ChatSelf-ItemButt-PourItem,SourceCharacter pours ActivityAsset onto PronounPossessive SourceCharacterButt.
ChatSelf-ItemButt-RollItem,SourceCharacter rolls a ActivityAsset over PronounPossessive SourceCharacterButt.
ChatSelf-ItemButt-RubItem,SourceCharacter rubs PronounPossessive SourceCharacterButt with PronounPossessive ActivityAsset.
ChatSelf-ItemButt-Scratch,SourceCharacter scratches PronounPossessive SourceCharacterButt.
ChatSelf-ItemButt-ShockItem,SourceCharacter shocks PronounPossessive SourceCharacterButt with PronounPossessive ActivityAsset.
ChatSelf-ItemButt-Spank,SourceCharacter spanks PronounPossessive SourceCharacterButt.
ChatSelf-ItemButt-SpankItem,SourceCharacter hits PronounPossessive SourceCharacterButt with PronounPossessive ActivityAsset.
ChatSelf-ItemButt-TickleItem,SourceCharacter tickles PronounPossessive SourceCharacterButt with PronounPossessive ActivityAsset.
ChatSelf-ItemButt-Wiggle,SourceCharacter wiggles PronounPossessive SourceCharacterButt.
ChatOther-ItemButt-Bite,SourceCharacter bites TargetCharacter's TargetCharacterButt.
ChatOther-ItemButt-Caress,SourceCharacter caresses TargetCharacter's TargetCharacterButt.
ChatOther-ItemButt-GaggedKiss,SourceCharacter rubs PronounPossessive gag on TargetCharacter's TargetCharacterButt.
ChatOther-ItemButt-Grope,SourceCharacter gropes TargetCharacter's TargetCharacterButt.
ChatOther-ItemButt-Inject,SourceCharacter injects TargetCharacter's TargetCharacterButt.
ChatOther-ItemButt-Kick,SourceCharacter kicks TargetCharacter's TargetCharacterButt.
ChatOther-ItemButt-Kiss,SourceCharacter kisses TargetCharacter's TargetCharacterButt.
ChatOther-ItemButt-MassageHands,SourceCharacter massages TargetCharacter's TargetCharacterButt.
ChatOther-ItemButt-MasturbateFist,SourceCharacter uses PronounPossessive fist to masturbate TargetCharacter's TargetCharacterAss.
ChatOther-ItemButt-MasturbateHand,SourceCharacter uses PronounPossessive fingers to masturbate TargetCharacter's TargetCharacterAss.
ChatOther-ItemButt-MasturbateItem,SourceCharacter masturbates TargetCharacter's TargetCharacterButt with PronounPossessive ActivityAsset.
ChatOther-ItemButt-MasturbateTongue,SourceCharacter uses PronounPossessive tongue to masturbate TargetCharacter's TargetCharacterAss.
ChatOther-ItemButt-PenetrateFast,SourceCharacter roughly penetrates TargetCharacter's TargetCharacterButt with PronounPossessive ActivityAsset.
ChatOther-ItemButt-PenetrateSlow,SourceCharacter slowly penetrates TargetCharacter's TargetCharacterButt with PronounPossessive ActivityAsset.
ChatOther-ItemButt-PourItem,SourceCharacter pours ActivityAsset onto TargetCharacter's TargetCharacterButt.
ChatOther-ItemButt-RollItem,SourceCharacter rolls a ActivityAsset over TargetCharacter's TargetCharacterButt.
ChatOther-ItemButt-RubItem,SourceCharacter rubs TargetCharacter's TargetCharacterButt with PronounPossessive ActivityAsset.
ChatOther-ItemButt-Scratch,SourceCharacter scratches over TargetCharacter's TargetCharacterButt.
ChatOther-ItemButt-ShockItem,SourceCharacter shocks TargetCharacter's TargetCharacterButt with PronounPossessive ActivityAsset.
ChatOther-ItemButt-Spank,SourceCharacter spanks TargetCharacter's TargetCharacterButt.
ChatOther-ItemButt-SpankItem,SourceCharacter hits TargetCharacter's TargetCharacterButt with PronounPossessive ActivityAsset.
ChatOther-ItemButt-Step,SourceCharacter presses PronounPossessive foot into TargetCharacter's TargetCharacterButt.
ChatOther-ItemButt-TickleItem,SourceCharacter tickles TargetCharacter's TargetCharacterButt with PronounPossessive ActivityAsset.

ChatOther-ItemVulva-ReversePenetrateAss,SourceCharacter fucks TargetCharacter's ActivityAsset with PronounPossessive TargetCharacterAss.
ChatOther-ItemVulva-Caress,SourceCharacter caresses TargetCharacter's TargetCharacterPussy with PronounPossessive fingers.
